Job Title,Location,Rank,Availability,Wage,Requirements,
Truck Driver,Toronto,Sudo,true,20,One Two Three,
Telemarketer,Toronto,Sudo,true,20,One Two Three,
Registered Nurse,Mississauga,Sudo,true,20,One Two Three,
Security Guard,Ottawa,Sudo,true,20,One Two Three,
Police Officer,Toronto,Sudo,true,20,One Two Three,
Web Developer,Ottawa,Sudo,true,20,One Two Three,
Software Developer,Toronto,Sudo,true,20,One Two Three,
Chef,Brampton,Sudo,true,20,One Two Three,
Customer Service Representative,Ottawa,Sudo,true,20,One Two Three,
Sports Coach,Toronto,Regular,true,10,One Two,
Reporter,Toronto,Regular,true,10,One Two,
Designer,Toronto,Regular,true,10,One Two,
Firefighter,Toronto,Regular,true,10,One Two,
Occupational Therapist,Brampton,Regular,true,10,One Two,
Actuary,Ottawa,Regular,true,10,One Two,
IT Manager,Mississauga,Regular,true,10,One Two,
Artist,Toronto,Regular,true,10,One Two,
Clinical Laboratory Technician,Mississauga,Regular,true,10,One Two,
Court Reporter,Ottawa,Regular,true,10,One Two,
Automotive mechanic,Toronto,Regular,true,10,One Two,
